tweet,polarity
Sobrang nakakataba ng puso na makita lahat ng mga kakampink na nag tutulungan at nag bibigayan sa isa’t-isa yun ang tinatawag na UNITY 🌸💓+makita mo yung ibang may kapansanan na hindi hadlang para hindi pumunta para lang masupportahan si vp leni 🎀#IpanloNa10To  #LetLeniLead2022,a
Wag nyo naman pls sabihin na pati si Ariana Grande na ipost yun sa story nya. She is aware of that. Kalaki ba naman ng poster na may muka ni Leni-Kiko dun. #LetLeniLead2022 #PasigIsPink #PasigLaban #PasigForLeniKiko,a
parang #BTSCONCERT sa dami ng dumalo. 💕🌸🎀 #LetLeniLead2022 #PasigLaban,a
Yup! 💕 #LetLeniLead2022  https://t.co/Q1Ts50WChK,d
Ikaw lamang ang kasagutan @lenirobredo #LetLeniLead2022,a
"""Kaya ngayong mayo Tayo ang tatayo para i-upo si LENI ROBREDO""  ""Ang isang Leni Robredo ay hindi dapat sinasayang"" -Carlo Hornilla  #ipanalona10to #LetLeniLead2022 #LeniRobredoForPresident",a
Lumalaban! 🇵🇭🇵🇭🇵🇭 #LetLeniLead2022 #LeniKiko2022 #IpanloNa10To #RosasAngKulayNgBukas,d
I believe nasa tamang pamilya ako :’&gt; #LetLeniLead2022,a
Nakaiyak talaga ang kantang to ang lakas makabigay ng pagasa #LetLeniLead2022 #LeniKikoTeam2022  #LeniForPresident2022 Nica del Rosario ft. Gab Pangilinan - ROSAS (Official Audio)  https://t.co/TXkTeVRdre via @YouTube,a
sa inyo na si s*ndro m*rcos dito kami sa tunay na pogi #LetLeniLead2022 #LeniKiko2022 🌸  https://t.co/Rf52l8kp4H,d
"Ang pagkakaisa hindi ang pagsama-sama ng masasama, hindi ito alyansa ng mga my kasong pamilya para burahin at pag takpan ang kanilang lansa.   –Carlo Hornilla #LetLeniLead2022",d
"nakakatuwa fyp ko puro vids about Madam President Leni, nasa tamang daan tayo mga kakampink 🌷🌸🎀 #LetLeniLead2022  #AngatBuhayLahat  #10RobredoForPresident  #7KikoPangilinanVicePresident  #IyakinForLeni",a
iisang kulay lang and that speaks volume about unity #LetLeniLead2022,a
Putangina nakakagalit. Nag bro browse ako sa YouTube ng ganap sa Pasig ni Leni kagabi tapos ito ang top 1 sa views! Andaming tanga. Andaming naloloko. Be alert tayo sa lahat social media platforms. Andami fake news sa YouTube! #LetLeniLead2022 #PasigIsPink #PasigLaban  https://t.co/SHVDbZ0INS,d
Watching videos of the recent campaign rally in Pasig and grabeee excited na po akong umuwi ng Pinas na si VP @lenirobredo ang presidente 🥺🫶🏻💗 Let's make it happen mga Kababayan  #LetLeniLead2022 #Leni #KulayRosasAngBukas #OFWsForLeni 🌸🎀,a
DANCERS FOR LENI! G? #AngatBuhayLahat #SaGobyernongTapatAngatBuhayLahat  #LeniKiko2022 #LetLeniLead2022 #Kakampink #KulayRosasAngBukas,d
BREAK FREE #LetLeniLead2022  #AngatBuhayLahat  #KulayRosasAngBukas,a
"I am surrounded by BBM’s to be honest, pero ika nga stand for what is right  even if you stAnd alone..kaya for 8 years nA ofw, i will make sure to caSt my vote.. para sa mahal kong bayan #LetLeniLead2022 #KulayRosasAngBukas",d
Ang sabi ko sa sarili ko ay #LetLeniLead2022 ng hindi ako ng aaway ng kabilang panig. Pero parang anytime ready na ako mambardagul 👀,d
Gagi yung director/manager ko sa work nag-uupdate sakin san next rally ni VP Leni 😭😭😭🥰🥰🥰🥰😍😂 #LetLeniLead2022  https://t.co/qIWXGNLI8r,d
‼️Kapag nanalo si Marcos Jr sama-sama tayo sa lusak. Kapag nanalo si Leni sabay-sabay tayong aangat. ‼️ #LetLeniLead2022  #KulayRosasAngBukas  #LeniKiko2022,a
Check out Lenae na naka bakasyon's video! #TikTok  https://t.co/eVxapmUIrA  Leni lang sakalam! 💪🏼 #10RobredoForPresident #AngatBuhayLahat  #LetLeniLead2022,d
lolss sa mga relatives na pro bbm balakayodyan #LetLeniLead2022 at kung anu ano sinasabi sa FB di naman registered voter! 😂 #ipanalona10to  https://t.co/y0CZzDp373,d
Mga hindi pa nakakamove on for leni #LetLeniLead2022  https://t.co/1ybdCdzlUP,a
Well hinabol ko talaga tong dinosaur na to ahahaha luv it 😁😁😁 #pasiglaban #PasigIsPink #Kakampink #LetLeniLead2022  https://t.co/0VNJfOmV1h,a
Nakakatuwa yung fyp ko sa tiktok puro kakampink 💞. Yaaaaas solid kakampink to 💪🫰 #KulayRosasAngBukas #LetLeniLead2022 #Kakampink,a
Hyunjin said #LetLeniLead2022 #KPopStans4Leni  https://t.co/caeuefTD8X,a
"To be honest,no one is expecting Leni to be perfect - I don’t even expect her to promise 6 mon.But at the very least, you’re in better hands for 6 yrs given it will be very tough for PH &amp; the downhill economy.Di NA natin kakayanin mag take risk.  Para Kay LUKAS #LetLeniLead2022",a
#10 Jco donuts :&gt;  #LetLeniLead2022  https://t.co/6KAC2JMrff,d
"Grabe sobrang siksikan, init, pawis at lagkit. Yes, nakakapagod pero kailangan ilaban natin to!  Kulay rosas ang bukas!🌷  #LetLeniLead2022  #AngatBuhayLahatKayLeniKiko #GobyernongTapatAngatBuhayLahat  https://t.co/DrY8Pd1uXx",a
💗🎀 #LetLeniLead2022 #KulayRosasAngBukas #LeniKiko2022  https://t.co/iIY4gKnG82,d
saw this pic taken nung ibalong days at napansin ko na very tama behavior hand sign natin dito😭👆 #LetLeniLead2022  https://t.co/kjYI8pPqSz,a
"kids nowadays be saying na BBM daw sila tapos kapag tinatanong kung ""bakit si bbm?"" sinasagot nalang ""basta""   HINDI ""BASTA"" ANG SAGOT SA BAKIT!!!!! #LeniRobredo #SaGobyernongTapatAngatBuhayLahat #LetLeniLead2022",d
"@cnnphilippines @laratyan Kahit bayaran mo pa lahat ng tao, di ka mananalo.  #MarcosMagnanakaw #MarcosDuwag #LetLeniLead2022",d
#LetLeniLead2022 #KulayRosasAngBukas  https://t.co/A4JlodM0Md,d
Gandaaaa #kakamPINK #LetLeniLead2022  https://t.co/6Mi9BXgRuK,d
"So happy for my best friend huhu from solid bbm to leni!😩💕🌸 guys madami pang time, laban! #LeniKikoAllTheWay #LetLeniLead2022  https://t.co/z43rML3gEJ",a
it's not too late to change your mind #LetLeniLead2022 🌸#KulayRosasAngBukas 🌷,a
"AVV, the "" BURGER"" ad  for Leni creator. Ang di bayaran na supporter who made a short film using her own simple camera. Made a bucket wish list come true last night.🙌 A pic with Leni Robredo!  Pricelees! 🙌 #Kakampink  #AngatBuhayLahat  #LetLeniLead2022  https://t.co/zGXrc4NYpB",a
"As much as possible, ikampanya at ipanalo niyo rin ang mga sumosuporta at mga ka alyado ni mam vp @lenirobredo sa LGU niyo. Mahirap mamuno pag ang mga nanalo sa LGU is ayaw sa kanya. Just saying #IpanloNa10To #LetLeniLead2022",a
"That being said, doon ako sa candidate who always shows up sa debates and interviews, has plans for the country, and who do that job really well, at higit sa lahat… may respeto sa batas, sa kapwa tao, hindi nang-aapak ng iba, buo ang tiwala sa buong bansa. #LetLeniLead2022 🌸",a
"After ng issue sa Tax plus nadagdagan pa ng super ultra mega successful ng #PasigParaSaTRoPa #PasigLaban yesterday, mukhang natahimik ang #Unithieves ah!   *Uuuyyy, naghahanda ng bagong script ang mga yan.   #LetLeniLead2022  #LeniKikoAllTheWay  #PasigIsPink  https://t.co/xWmiDZrwLv",d
ay choice lang ng mayayaman at di para sa para sa masa. Kung may makabasa sana inyung mapagisipan. #LetLeniLead2022  #LeniRobredo  #AngSimulaNgSagupaan  #LeniKiko2022,d
@chmnnsmu #LetLeniLead2022 !!,d
“Leni ka na lang” 🌸💗 Itchyworms!!! 🤗🤗🤗 #PasigIsPink #LetLeniLead2022  https://t.co/blEG1lbnjR,d
"Any kakampink events in AuH, UAE? #LetLeniLead2022",d
"We also have individuals asking for campaign mats na ibibigay sa friends, family members, kapitbahay sa probinsya and super saya sa pakiramdam na makatulong kahit sa maliit na paraan 😭 #LetLeniLead2022 #LeniKiko2022 #ParaSaBayan 🎀  https://t.co/VncIplxQ3T",d
Wow!! Ombudsman Comchita and Justice Carpio was there. Ang galing naman.  #LeniKiko2022  #LeniRobredo2022  #LetLeniLead2022  #Kakampink  #DonnyLovesLeniKiko  #KulayRosasAngBukas,d
Mga hindi nakapunta sa pasiglaban for Leni 🌸 #LetLeniLead2022,s
I WAS HERE 🥺🥺🥺💖💖💖  #PasigLaban  #PasigIsPink  #LetLeniLead2022  #10RobredoForPresident,d
Ano na Ate @Pink! Paki galaw ang baso! Let’s GET THIS Leni PARTY STARTED!!   #LetLeniLead2022  #LetLeniKikoLead2022  #KulayRosasAngBukas  #LeniKiko2022,a
"Besides being surrounded by a sea of people wearing pink, another thing that brought me so much joy was seeing multiple pride flags being waved high in the sky… Sarap sa pakiramdam 🙂🏳️‍🌈 #pasiglaban #pasigispink #LetLeniLead2022  https://t.co/jaUYrSFlHy",a
“Pero sisikapin ko at hindi ako magpapahinga Hangga't hindi mo pa magawang muling ipagmalaki Na ika'y isang Pilipino..”  frustrated singers for Leni!! haha  inabangan ko rin ipatugtog to doon buti na lang pinerform hahahaha 😭😭😂😂 #LetLeniLead2022 #PasigIsPink  https://t.co/AUaTY76wYV,s
When you happened to be Ariana G. supermega fan tapos baby emz ka!!! nag evaporate na siguro yung dugo mo.. 😂😂😂🌸🌸🌸 #LetLeniLead2022 #Kakampink,d
YES! GOOSEBUMPS 🥺🌸 #PasigLaban #PasigIsPink  #PasigForLeniKiko #LetLeniLead2022,d
Leni Robredo world domination.   #LetLeniLead2022  #RosasAngKulayNgBukas,a
sanaol nasa Padre Pio now #DasalanSaBatangan #LetLeniLead2022,d
Para sa atin at sa mga susunod pang henerasyon. 🌸  #PasigLaban #PasigIsPink #LeniKiko2022 #LetLeniLead2022  https://t.co/SL7yhMN2nF,a
Vote for our Rights. #LetLeniLead2022,a
"Full tank ang gas, naka check ins sa hotel malapit sa event, kumain sa wildflour. In short hindi kami bayad ng 500 no need   #LetLeniLead2022  #RespectMyOnion  #PasigLaban",d
The best man for the job is a woman.💗 - VP Leni Robredo  #LetLeniLead2022  #LeniKikoAllTheWay  #AngatBuhayLahat  #KulayRosasAngBukas  https://t.co/BwIW8XGKEx,a
"""Magtatayo ng kulay rosas na mundo""  #LetLeniLead2022 #LetLeniKikoLead2022  #AngatBuhayLahat  https://t.co/JvftDNkqIE",a
Goosebumps ito kahapon  nung lumabas na si VP Leni! #LetLeniLead2022 #10LeniRobredoPresident  https://t.co/TgW8Y7KPfj,a
A wave from 137k people who attended Leni’s rally. And 190k who watched online.then I thought of Dom with STW &amp; Kat Barrell doing the wave.If only everyone can watch #WynonnaEarp Earp in the Philippines.(wishful thinking) ctto: Archie #LetLeniLead2022  #Kakampink  https://t.co/SjPu5LgJ9v,d
LOL!! #LetLeniLead2022  https://t.co/E8L2vbgN3N,d
#LetLeniLead2022 💗🌸💄👠 #LeniKiko2022 🇵🇭💪,d
"Taray naman, magcacall kami ni Daddy and topic namin yong mga achievements ni Leni and history ng martial law. Iba talaga ang taong matalino #LetLeniLead2022",a
"The best man for the job is a woman.🌷  ""Respect mine and I'll Respect yours""  #LetLeniLead2022",a
#LenLenLoser desperado yan? You can do better than that! Kung gusto nyo join na the pink movement! #PasigLaban #PasigIsPink #10RobredoPresident #LetLeniLead2022 #7PangilinanVicePresident #IpanloNa10To,a
IM NOT KIDDING IM CRYING WHILE WATCHING PEOPLE SINGING LUPANG HINIRANG AT #PASIGLABAN RALLY YESTERDAY. IBA KAYO! YES DI TAYO PADADAIG LALABAN TAYO!!! #LETLENILEAD2022 💕🌸,a
I'm one of the 137k 🌸💕 #PasigLaban  #IpanaloNa10to #LetLeniLead2022  https://t.co/r9fJsNjFOJ,d
ARIANATORS for LENI 🎀💖   #ArianatorsforLeni #ArianaGrande #LetLeniLead2022 #VPLeni  https://t.co/5wmN6CLJ2z,a
"“Research paper lang ang nirerevise, hindi HISTORY.”  this placard says it all 🌺💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗 #LetLeniLead2022 #LeniKikoAllTheWay",d
"My Lola asked me if pumunta daw ba ako sa rally, then I said yes, tapos she asked again if magkano allowance, like fr?? ganito ba mindsent ng BBM supporter??? HINDI KAMI BAYAD!!! #LeniKiko2022 #LetLeniLead2022",a
"Years ago, people marched EDSA to oust a dictator..  Yesterday, a few blocks over, people marched to support our future president. 🌸🌸  #KulayRosasAngBukas #LetLeniLead2022  #PasigIsPink",a
We're making  history for this year's campaign.😭 #LetLeniLead2022 #AngatBuhayLahat  #PasigLaban,a
my heart and soul was there with y'all OMG tumindig balahibo ko iba kayo!!!! #letlenilead2022 💕🌸  https://t.co/gmwDRdgalh,a
ANG LAKAS NG 'KAPANGYARIHAN' SA PASIGLABAN HUHU THANK YOU BEN&amp;BEN #LeniKiko2022 #LetLeniLead2022 #LeniForPresident2022  https://t.co/Mr8KdInEpl,a
"Me, knowing I chose the right person to support ☺️💗  #LetLeniLead2022 #LeniKiko2022  https://t.co/mZ6Bkh0jkY",a
Ang sarap po ng cookies nato!   Sana maka-abot sa gumawa. Ngayon ko lang nakain. ANG SARAP-SARAP!   #PasigLaban  #LetLeniLead2022  #LetLeniKikoLead2022  https://t.co/GWzHhjo4Qw,d
leni ka na lang &gt; akin ka na lang pls  #PasigIsPink #LetLeniLead2022,d
Di makapunta sa Ortigas dahil sa dami ng tao at traffic kaya nagsarili nalang ako sa arcovia 🌸 @lenirobredo  #LetLeniLead2022 #KulayRosasAngPasig  https://t.co/MtGu3StTEx,d
I MADE IT!!!! SO HAPPY NA PART AKO NG HISTORY NA ITO NG PASIG LABAN. 💟💟  Ipapanalo na natin 'to! 🌺🌺 #LetLeniLead2022  #LeniKiko2022  https://t.co/ImpHnjlkDN,a
"Why those BBM supporters keep bashing VP leni grand rally, if hindi nyo kaya ma reach yung ganong dami ng tao manahimik nalang kayo howkey pag ingit pikit💅🏻 #LetLeniLead2022",d
#LetLeniLead2022 @lenirobredo  https://t.co/cmHshYX9wr,d
"There is hope, Pilipinas! #PasigLaban #PasigIsPink #LeniKiko2022 #LetLeniLead2022 #KulayRosasAngBukas #GobyernongTapatAngatBuhayLahat  https://t.co/68IemQv08e",a
#LetLeniLead2022🌸,d
Joshua for Leni ! Carats for Leni ! #Kakampink #KayLeniNaTayo #LetLeniLead2022 #KulayRosasAngBukas  https://t.co/1y0Y4wHjSp,a
Thank you for supporting our Next PRESIDENT LENI ROBREDO. #LetLeniLead2022,a
Ipanalo natin to. VP Leni for President. #LetLeniLead2022,a
Surreal!!! #LetLeniLead2022 #LeniKikoAllTheWay #LeniRobredo2022  https://t.co/J5TnMz9tB0,a
"Iisa lang nakikita ko, Filipino's Unity. Wala nang iba pa. Kung sino sa tingin nyo ang karapat-dapat iboto, sila ang iboto. 💖❤️💚  #votewisely2022 #LetLeniLead2022 #BBMIsMyPresident2022  https://t.co/nuqKSIBDEp",a
to be part of the pink crowd yesterday was indeed a memory filled with PAG-ASA PARA SA KULAY ROSAS NA BUKAS! #LetLeniLead2022 #PasigLaban #PasigIsPink #LeniKiko2022  https://t.co/I73HzXuhZJ,a
"Big Pink rally. Full supporters. Media in awe.Pulse asia/SWS/kung ano man Survey results coming in 3…2…1…   Remember Imelda’s eerie words in “The Kingmaker”. “Perception is real, the truth is not”.   Perception is their machinery. THE TRUTH IS OURS.  #LetLeniLead2022 #VPLeni",a
Pasig is PINK!  #Kakampink #LetLeniLead2022  https://t.co/VOIWYfyWdz,a
DOING IT WITHOUT PAYOLA TOO!!   Lbm really paid Otin G P120M for her bad rendition of Roar and avoiding the high notes of Titanium by screaming shabuy shabuy 💀  LENI WORLD DOMINATION!  #LetLeniLead2022,a
We love you melai...  #LetLeniLead2022  #PasigLaban,d
lenihae &lt;333 #LetLeniLead2022,d
#LeniKiko2022 #LetLeniLead2022 #PasigLaban #PasigIsPink  https://t.co/rtfYxNb2xF,d
I luv u Donny! #kakampink #LetLeniLead2022,d
#LetLeniLead2022 #BenandBenforLeniKiko #liwanagforleni♥️♥️♥️  https://t.co/vuJ7B7390i,d
Alam kong maraming nakakarelate sa placard ko 😅 @KPOPSTANS4LENI #KPopStans4Leni #PasigLaban #PasigIsPink #LetLeniLead2022  https://t.co/0AFCXEA1uh,d
"Mababait naman mga taong willing ipaalam sainyo mga nagwa ni Leni, idk parang di nyo naman ata deserve yung kabaitan nayon. #LetLeniLead2022",a
"@FreediverMmm @ki360p This is what’s happeninG in the 🇵🇭- nagpapapagod,naglalaan ng oras,gumagastos ng sariling pera ang mga #Kakampinks para IPAGLABAN ang mga supporters ni BBM na bulag sa katotohanan! This is an uphill battle, but doable! #LetLe",a
May hangover padin ako sa event yesterday pero worth it ang pagod promise! 🌸🌸#LeniKikoAllTheWay #LetLeniLead2022 #10RobredoPresident #KulayRosasAngBukas,a
Thank you Mama @lenirobredo nakakawala ng pagod   #Ipanalona10to #LetLeniLead2022  #LeniKiko2022  https://t.co/tSIyw3dDwT,d
@PopCrave To this we say: #LetLeniLead2022 !  “The last standing man is a woman!”  https://t.co/zt7KENU33g,d
@ABSCBNNews Kaya di ka tlga pipiliin🤧 #LetLeniLead2022,d
LEAD Y2K Logos . . . . . . . . #LetLeniLead2022  https://t.co/CEHVJyiyuE,d
CTTO #LetLeniLead2022  https://t.co/p7jAxYh9z8,d
@wonsunsetz cge p mam aasahan k p yn ☺️☺️ #letlenilead2022,a
Kakaiyak yung pag kanta ng Rosas while VP Leni was embracing this Young kid #LetLeniLead2022 #PasigIsPink #PasigLaban full of hope on our future  https://t.co/42wzqWWR1d,a
@Jerome_Cali Di mo ma post sa Facebook no? Banned ka kasi ni koya Mark hahaha #Zuced  #LetLeniLead2022 #kulayrosasangbukas #LeniWanagSaDilim #PasigLaban #PasigIsPink,d
"Next: sa Makati kaya Leni-Kiko Grand Rally tapos kakantahin yun ""Bang Bang"" Jessie J, Nicki Minaj and Ariana Grande para bonggang diba sino kaya pwede to sa Ayala Avenue #MakatiIsPink #KikoAngManokKo #LetLeniLead2022 #KulayRosasAngBukas #PasigLaban #PasigIsPink #LeniWanagSaDilim",d
Woaaah totoo nga!!! Grabe mga kakampinks 🌸 #LetLeniLead2022 #PasigLaban  https://t.co/9ygpcpVp7v,d
#LetLeniLead2022 #10RobredoForPresident #LetDonnyLeadMyHeart,d
@mkjn23 #LetLeniLead2022,d
Kalat padin ng TL. I’m out basta dont forget #LetLeniLead2022,d
"Pinks have a thirst for the affirmation of the rich and famous, Ariana,Cher, MSM. This only makes you &amp; your candidate unrelatable. Democracy like ours, the validation that matters is from folks below the societal line that you are mocking #LetLeniLead2022 #UniteamBBMSARA",s
"SIA also noticed ToniG perform Titanium....yeah, for all the wrong reasons😬  Ariana Grande heard us. Leni strong! Wait until we converge in Makati for Paseo de ROSAS!  #LetLeniLead2022  https://t.co/vwWOlHtViL",a
#LetLeniLead2022  https://t.co/6Paru9VGXs,d
MGA MASAKIT ANG BINTI FOR LENI. Hahahaha. 😂😂  PERO SOBRANG SAYA KAGABI! 💗🌸 #LetLeniLead2022 #PasigLaban #PasigIsPink,a
Babae ang susunod na Presidente! Laban Leni! 🌷  #LetLeniLead2022,a
"Basta, #LetLeniLead2022",d
Me to all who went to grand rallies:  #PasigLaban #LetLeniLead2022 #KikoAngManokKo  https://t.co/kTdzuT1prc,d
@Ryanyt1689 @20 babae dahil kaylangan naman ng Pilipinas ng pag aaruga ng isang Ina pagtapos ng lahat ng karahasan na dinanas natin nitong nagdaan. 🌸 #LetLeniLead2022,a
Few shots form yesterday's Campaign Rally 🌸✨ #LetLeniLead2022 #PasigIsPink #PasigLaban  https://t.co/X5FxqDkBGy,d
"Sino daw ang next president, yan oh tinuturo na ni Darna.  #LetLeniLead2022 #AngatBuhayLahat #IpanaloNa10to  https://t.co/rQBH8cIxeG",a
I say tamah!!!  #PasigLaban  #KulayRosasAngBukas  #LetLeniLead2022  https://t.co/JixtQ1UGi1,a
Aaaaaaaa!!! i stan the right peopowwwwwwwl! 😭😭😭  #LetLeniLead2022 #LeniKiko2022 #BretmanRock  https://t.co/FFfYYFq4pN,a
so cute how it's very pinkish 🤩 #LetLeniLead2022 🥀,a
Dami supporters nang ating soon to be President. Kay Leni na Tayo👍 #LetLeniLead2022,a
"This is what’s happeninG in the 🇵🇭- nagpapapagod,naglalaan ng oras,gumagastos ng sariling pera ang mga #Kakampinks para IPAGLABAN ang mga supporters ni BBM na bulag sa katotohanan! This is an uphill battle, but doable! #LetLeniLead2022",a
Minamarcos pati yung tula na nais sana gamitin ng may akda sa rally ni VP Leni. Grabe kayoooo! #LetLeniLead2022 🌸,d
@indiohistorian 100% correct! #LetLeniLead2022 #LeniKiko2022 #LeniIisMyPresident2022,d
"Went to VP Leni’s rally in Pasig yesterday 💖💖💖 Sobrang nakakataba ng puso. May pag-asa Pilipinas!  #LetLeniLead2022  #DapatSiLeni   Anws, Face reveal(??) coz y not emz HAHA hi irl friends if u saw diz pls kunaari di niyo alam diz acct 😝 also, dala ko bkdk lucky charms ko 🧡💚  https://t.co/6PjSoSvxfc",a
"Ibang klase ka mama len, pang-international!! Utak, puso, gawa at ganda!!! @lenirobredo mahal ka namin ma 🌸💗 #LeniWanagSaDilim #LetLeniLead2022",a
ANG L SA MARK LEE AY LET LENI LEAD! 🌷💗  #LetLeniLead2022  #AngatBuhayLahat  #RosasAngKulayNgBukas,a
#LeniKiko2022 #kakampinks #KulayRosasAngBukas #LetLeniLead2022 !!🫶🌷💗💕💕,d
viceion huhuhuhu so proud :((( 💗  #LetLeniLead2022  #ViceGanda | #ViceIon | #IonPerez,d
andaming pera naman pati si Bretman Rock binayaran 🤮 #LetLeniLead2022 #LeniLangSakalam #LeniKiko2022  https://t.co/NgnrCzGV0U,a
Purr 💅🏻💅🏻💓 #LetLeniLead2022   #WeGOTthePower #WeWinAsOne #AngSimulaNgSagupaan #SPCMetanoia #SPCIntramurals2022,d
Yes nemennn!! 💗🫶🏻 #LetLeniLead2022 #KulayRosasAngBukas,d
Bretman Rock ig story. Yes!🌸 #LetLeniLead2022 #LeniKiko2022  https://t.co/6hylTfDJI0,a
There's hope for the PH. 😭🇵🇭🌸 #LetLeniLead2022,a
Nasira ang candy bong z for leni 🙂🥺😭🌸🌸🌸  #PasigLaban #LetLeniLead2022  https://t.co/UU6MHgcwqN,a
"Campaign Period ngaun, hindi Fake News Period. Gigil ako ng mga to.  #LETLENILEAD2022 #LeniKikoAllTheWay",a
HOLY SHET KAKAMPINK DIN SI MARENG ARIANA AAAAAAA  #KulayRosasAngBukas #LetLeniLead2022 #KayLeniTayo  https://t.co/yl1u7AKNeR,a
@LostPlayer101 Solid leni #LetLeniLead2022,a
"Dear #kakampinks alam ko triggered kayo sa bayad issue ng LBM supporters, pero iwasan ipagyabang na puro mayayaman ang supporters ni VP @lenirobredo. Kailangan kumonek pa rin sa masa, hindi tayo elitista. #LetLeniLead2022",s
Huwag na huwag nyong sasabihin na pinagbigyan nyo na kami nung Aquino ang naluklok kase putangina wala pa kamuwang muwang ang mga kabataan non at KAYO ang bumoto sa kanila tapos ngayon na tumindig na kami sa mas maayos na gobyerno sasabihin nyo kayo naman? ULOL  #LetLeniLead2022,d
ANYWAYS #LetLeniLead2022   #WeGOTthePower #WeWinAsOne #AngSimulaNgSagupaan #SPCMetanoia #SPCIntramurals2022,a
In a esquinita that is BBM SUPPORTERS theres me! Goodmorning mga kapit bahay! #LetLeniLead2022 #KulayRosasAngBukas 💖🎀🌸  https://t.co/IJ0qolvGoJ,d
Tamaaaa eh kasi nga si Madam ay masipag at di DUWAG🔥 #LetLeniLead2022  #LeniKiko2022  #LeniWanagSaDilim  #LeniKikoAllTheWay,a
"""Para sa mga apo ko, Kaya kay Leni ako"" #IyakinForLeni #ipanalona10to #KathNielsForLeniKiko  #LetLeniLead2022  #LeniWanagSaDilim",a
"Ang sarap tumindig para sa tama, at sa dahilan na alam mong hindi ka magse-settle for lesser evil this election!  #PasigLaban #PasigIsPink #LeniKiko2022 #LetLeniLead2022 #IpanloNa10To  https://t.co/SQHWrKigoa",a
YEEEES! nakita ko 'to kaninang madaling araw. iyak na naman mga apologist n'yan.  #LetLeniLead2022,a
Brave and loud! Proud Kakampink! 🌷🎀  #PasigIsPink #LetLeniLead2022 #PasigLaban  https://t.co/TQawD8S8vS,a
#LetLeniLead2022 #PasigIsPink  https://t.co/o6WY2A6oWM,d
ariana grande and bretman rock really said #KulayRosasAngBukas #LetLeniLead2022 🌸🌸🌸,a
#LETLENILEAD2022 AHHHH,d
Dapat dito kinanta ni Nito G ung ROOOOOAAAAR!! #LetLeniLead2022 #AngatBuhayLahat #kakampinks,d
#LetLeniLead2022 #LeniWanagSaDilim,d
Woi! Wag nyo ko maghantay mag talk talaga! Wag din kayo makasigaw ng hindi kayo bayad! #BBM Kaya dun tayo sa hindi nagsisinungaling #LetLeniLead2022 #KulayRosasAngBukas Pinipilit ko talagang maging mabait for Leni! Tama behavior! 💖🎀🌸  https://t.co/7pbyavdvl7,a
saw some engenes there yesterday 🥰🌸  #EngenesForLeni  #KpopStansforLeni #LetLeniLead2022 #PasigLaban  https://t.co/My3SH9gyXF,a
YES!! 🎀  #LetLeniLead2022  #LeniKiko2022  #ViceGanda | #ViceIon | #IonPerez,d
@bretmanrock is #Kakampink #LeniKiko2022 #LetLeniLead2022  🌷❤🌷❤🌷❤🌷  https://t.co/IdSFMtFGBr,a
hahaha WAg niyo siyang Ma-terry terry! #LetLeniLead2022 #IpanaloNatinTo #LeniRobredo2022,d
Gagie KAKAMPINK NA NANAY KO!! 😭😭🌸🌷🎀  #LetLeniLead2022  #Kakampink  #KulayRosasAngBukas,a
sana lahat baka lang naman meron rin rito sa iligan city or cagayan de oro bah lol pero im happy talaga #LetLeniLead2022,a
@BityPresidente   A president who actually has the balls to show up for a debate.  #LetLeniLead2022  #LeniKiko2022  https://t.co/OSwerdcgWL,a
#LetLeniLead2022  https://t.co/WLy8WPdpeH,d
"Sana may People's Rally na andoon ang mga Darna like Angel, Marian, at Shawie. Tapos ipapasa nila ay isang iconic na pink stone para kay VP Leni.  🌸❤  #LetLeniLead2022  #KulayRosasAngBukas  #LeniWanagSaDilim  #AngatBuhayLahat  #LeniKiko2022",d
BRETMAN ROCK SAID #LetLeniLead2022,a
#Kakampink #LetLeniLead2022 #PasigLaban #PasigIsPink,d
#KulayRosasAngKulayNgBukas #LetLeniLead2022  #PasigLaban huhu 🥺🎀,d
It was rare We were there We remember it ALL TOO WELL  unApplied Mathematicians for Leni-Kiko 😂  #PasigLaban #KayLeniNaTayo #KulayRosasAngBukas #LetLeniLead2022 #LeniKikoAllTheWay  https://t.co/Z8Zs9mFnaG,a
Omgggg  #ViceGanda  #PasigLaban  #LetLeniLead2022  #KulayRosasAngBukas,d
obv not sb19 related but i just wanna say i'm so glad this thing happened. miss ariana grande's ig is a real thing we all didn't expect. #LetLeniLead2022  @SB19Official #SB19  #Bazinga_SB19 is my hype song!,a
mga ka-bns for Leni 💗 #LetLeniLead2022,d
"You can easily determine a  sensible person to unsensible one. The former speaks with facts while the latter speaks kung anuano na lang. Katawa talaga magbasa ng comments specially from the other side, walang katorya torya. #KayLeniTayo  #LetLeniLead2022",a
#LetLeniLead2022 💕💕💕💕,d
"I CAN IMAGINE VP LENI TELLING THIS YOUNG BOY: PARA SA KINABUKASAN MO ITO, ANAK. 🌸🌹🥺  Tbh, nakaka-iyak at heartfelt yung moment na kinakanta nila @nicadelrosario at @gabpangilinan itong Rosas. 🥺🥺🥺  #PasigLaban #PasigIsPink #LetLeniLead2022  #LeniKiko2022  #IpanaloNa10To",a
sa maLENIs na gobyerno tayo🌸🌷🌺💗  #LeniKiko2022 #LetLeniLead2022,a
