tweet,polarity
magandang umaga uniteam dadayo upang makilala malabon fish,positive
bbmsara today vibe vibe aliw,positive
@manilabulletin @MB_RAntonio Mga kulilat na nga mga ulol nagmamalaki pa hahahahha wla na may nanalo na #bongbongmarcos2022 lang malakas  https://t.co/9rwTBzH8XQ,positive
eye ear philippin presid,positive
bbmsara abl unit filipino inc muslim iglesia diyo kingdom christ elshada katoliko ibaiba paniniwala gustong umunlad buhay pilipino,positive
magtapatan karapatdapat pangulo pilipina sundin konsensiya,positive
comelec debat accomplish hatr antibbm forc grew strengthen resolv bbm support protect choic affect survey result abangan kabanata,positive
saw bbm gratitud refus take money,positive
"Salamat talaga, Tay! You put us back on the map. Proud na proud ako as DDS.  #DDS #proudDDS #PRRD #bongbongmarcos2022 #bongbongforpresident #UniTeamBBMSARA #UniteamBBMSara2022  https://t.co/oXqwejl9As",positive
Malakas ang loob nila ngayon bcs of the flame inside their hearts that they don't notice it's pure hatred. Try harder pinklawans hindi nyo masisira ang #UniteamBBMSARA,positive
You've touch our hearts Nanay Clemencia. God bless you. Boto mo po ay sapat ✌️❤️👊💚.   #BBMIsMyPresident2022  #BBMSARA2022  #BBMSaraUNITEAM  https://t.co/coBTcgJgdt,positive
"For once, I finally agreed to this man. Anyone qssociated with Quiboloy must not hold any government office otherwise it would be the demise of my beloved country.  #NoToBBM  #KulayRosasAngBukas  #LeniforPresident2022",positive
"Look how genuine his reaction kahit sobrang init sobrang pawis na s'ya, sobrang pure ng love n'ya sa lahat ng sumusuporta sa kanya. ♥️ #BBM  https://t.co/6fm125kROz",positive
pagnanalo bbm yayaman pilipina sia angmay hawak swiss account bbm support gago munang manalo ibalik,positive
samasama babangon twibbon frame,positive
isip boboto sarah dutert utak hnd naranasan iboboto,positive
I'd rather choose to be hated by many for supporting bbm than regretting my vote to support the wrong leader. #bbmsarauniteam2022 #BBMFORPRESIDENT2022  @bongbongmarcos  @sandromarcos7,positive
"Tong dalawang beks na kasama ko, estudyante pa yan. Humingi pa ng pamasahe sa mga mama nila, kinapos sa budget ako pa nag abono pero ok lang pumunta kami dun para sa sumuporta! wala kaming natanggap tulad ng sinasabi niyo, pero umuwi kaming masaya #DiKamiBayad💕  https://t.co/SeysVVjjev",positive
The goodness of the Marcoses beat their enemies who tries to breaks them everytime. #PeaceNotWar ✌️🇵🇭  #BBMSaraUNITEAM #BBMSARA2022 #BBMForPresident  https://t.co/hdWLZJP4kF,positive
masikmura pinagsasabi sab magalona asawa toni gonzaga tinawag bitch toni ganon freedom pumili iboboto,positive
laugh uniti understand deep mean,positive
umaraw uminit pagtanggap inulan bumaha umapaw suporta,positive
nabigyan libreng pagkain naabutan ralli,positive
Hindi talaga ako ngkakamali na pinili kita #BBM to be my future president #SMNITheDeepProbe,positive
"Bakit kaya kung photos ng BBM rally ang i-post, wala issues at wala objections? Kung photos ng pinklawans, dami issues at daming objections? 🤔🤔🤔 #BBMSaraUniteam2022",positive
"@bongbongmarcos @smninews We are so proud of you ..My Next President❤️💚 what more can I ask for? Your the best Sir,among the rest! #BBMisMyPresident",positive
napkaconsist sagot interviewdeb galiiiiiing,positive
choos bbm passion hardwork instead alway rope ph puppet person elect presid,positive
"Solid bbm din ako, pero si Leni lugaw yung iboboto ka para mahirapan s'ya ng 6 years! Ayaw kong mahirapan si ser beybiM  #SolidBBM #BBMSARA2022  #BBMlangsakalin",positive
deserv next presid philippin,positive
manifest bbmsara tandem win upcom elect,positive
Governor of Tawi Tawi and 11 municipal mayors support the Uniteam! Let's keep the fire burning🔥 #BBMFORPRESIDENT2022  #SaraDuterteForVP2022  #bbmsarauniteam2022  #TAWITAWIFORBBM #SamasamaTayongBabangonMuli  https://t.co/3L5PR4ecQl,positive
relationship son father inspir fam sandro bbm,positive
"The man of the hour lol.. Grabe ang lakas ni Sir #BBM. ATM, 249,727 live viewers #SMNI YT+Fb and The Manila Times YT+Fb ❤️💚👏👏. Congrats #SMNITheDeepProbe  https://t.co/Ig2K7HlHrv",positive
bryan michael proud bbm youth gobyernong tapat urong sulong,positive
prefect tandem pagbabago bansa,positive
"Wag mo na gamitin yang double standards/misogyny, fanaticism cards mo. Hindi ba pwedeng may mas preferred na kandidato ang ibang pinoy kesa dyan sa nanay leni niyo. #BBMismypresident",positive
Nakakaiyak 😭   ♥️💚✌️👊  Ramdam nyo na ba ang Tunay na PAG ASA! #BBMSARA2022  #BBMIsMyPresident 🇵🇭 #UniteamBBMSara2022  https://t.co/pwkJ5os4W4,positive
nakakaiyak namansana hangad clean honest elect changesawang sawa kalokohan liber dilawan pray promis,positive
mabuhay bansang pilipina iwagayway isigaw filipino taa noo,positive
viewer suporta bbm loyalist,positive
good kauniteam parti tomorrow,positive
never admit lose elect respeto desisyon bayan iluklok respect freedom choos elect,positive
ipagpapatuloy hihigitan nasimulan,positive
bose pasensya kameet buka huhuhu panalong chant,positive
attend ralli virtual inde best job woman,positive
presid presid dutert,positive
"Philippines, will be better nation again. God bless Philippines. #BBM #BBMSaraUNITEAM  https://t.co/MF6SxZWcHo",positive
napatunayan pres nagdaan npatunayan khit isangaun naglalabasan ramdam sumusuporta stop black propaganda,positive
"@GilbertCRemulla Based on the survey of Pulse Asia, why #BBM has a high rating because of his father's accomplishments which can't be denied and unsurpassed for the past 30 years under the regime of the Yellow Brigade whose services and infrastructures we",positive
actually it's not my first time to vote yung mga nauna eh parang wla lng po sakin kasi sabi ko kahit sino naman ibo2to ko ganun din naman walang pagba2go but @bongbongmarcos Sir in 5.9.22 I will put my trust in you  @sandromarcos7  #BBMFORPRESIDENT2022 ✌🏾🇵🇭❤️🐅,positive
kinukumpara sandro kayong banyan ad spread fake news tumatakbo sisiraan kayang supportahan pinklawan paninira,positive
"Thanks SMNI ito ang ka I'll langan hnde yun magdedebate kayo kumita p yun network sa comercial,yun tao bayan lutang na sa paulit ulit n mga question n nasagot n sa mga interview nila ito gayahin nyo.tao sa kandidato f2f #BBMSARA2022 #BringBackMarcos  https://t.co/wqH7tcaKCf",positive
bbm vlog murang pagkain bongbong,positive
Still a BBM supporter #UNiTeamBBMSARA,positive
hwag magalit personalan pawang katotohanan,positive
"#BBM #unityteam Praying and rooting for them. God bless, BBM and Sara Duterte. #mychoice #bangonPilipinas",positive
enlighten bbm presid philippin,positive
goodluck kinabukasan anak,positive
Wow he really great. His plans and everything pinag aaralan niya talaga para gumanda ang bansa💚❤✌🏽 Our Future President BongBong Marcos did a really great job. #SMNITheDeepProbe #BBM #BBMSARA2022  https://t.co/mnYoAGbpyb,positive
Hindi lang pwede mapokus ang plataporma para sa mangagawa ka Leody dapat buong problema ng bansa. #SMNITheDeepProbe  #BBM,positive
He deserves to be heard. #bbm #SMNITheDeepProbe,positive
xian gaza entertain pangawala help bbms campaign thank xian ftw,positive
humbl person soon presid,positive
"Dear FEM, Duterte, Magsaysay  "" They can imitiate you but they can't duplicate you, cause you got something special.""  #TELenlenRoseEp1  #BringBackMarcos #BBMSARA2022",positive
sign divis mananalo makipagbangayan strategi dumalo makipagkaisa makipagtalo,positive
All eyes and ears on Philippines 17th President🇵🇭 #SMNITheDeepProbe #BBM ✌️,positive
bbm support expos tumindig ora manahimik,positive
bbm brave brave show incompet,positive
My President on lead❤️✌🏻 #BBMSARA2022  #BongbongForPresident #bongbongmarcos2022,positive
babym fan,positive
choos candid candid brave stand debat caus stand think stand filipino,positive
Wag lang madadaya ulit si #BongbongMarcos #BBMIsMyPresident2022 #UniteamBBMSara #ProtectBBMSARA ✌️❤️❤️❤️,positive
@shaiyeee_xmh I agree on you👍 He deserves love and respect ❤️💚 #BBMisMyPresident ❤️,positive
Mygaddd🤧 Im so kilig🥰 they are very comfortable to each other❤️💚  #BONGBONGMARCOS2022  #SARADUTERTE2022  #BBMSARA2022 .👊✌️  https://t.co/biEDbyUKGT,positive
bbm uniteam,positive
stay focus listen peenois bbmxsara,positive
ooo top tangina kakampink nalalaman,positive
paulit tinatapakan angkan nakuhang maghiganti iniintindi pagtulong bayan minamah bayan,positive
got my #711speakcup syempre kay pops #BBM @bongbongmarcos  ang vote ko kaya support all the way ✌🏼❤🇵🇭  with matching siomai 😁😍 #BBMismyPresident  #BBMSaraUNITEAM  #Eleksyon2022  https://t.co/aGd38jcWzj,positive
but by his service in our country he is qualified to lead our country.   #BBMIsMyPresident2022  #BBMSaraUNITEAM  #SARAisMyVP2022,positive
Stop comparing Sandro Marcos and Donny Pangilinan. both of them are very different and both educated. Sandro is a politician and take  political science and Donny is an artist and take bachelor of arts and multimedia studies. SEE very different right?  #BBMSARA2022 #BBM,positive
"what’s wrong with being a dilawan or pinklawan, someone said in a tweet.  uhmm idk, care to ask the SAF44, mendiola, yolanda, hacienda luisita victims? or maybe, trace the trillions in expenditures cory had during her 6 year term?  you say #MarcosMagnanakaw but u dont have proof.",positive
social media support bongbong ig stori,positive
Parents! Chour! Sarap maging Pinoy! #BBMSaraUNITEAM #BBMSARA2022 #SolidDDS  https://t.co/5wXT1LUk6J,positive
mvp inday malaka,positive
"Napakarami kong natutunan sa gabing ito ulit Mr. President 😭 ngayon lang ako nagkaganito sa election, napakasarap na maaabutan ko ang pamumuno ng anak ng Isa sa ating pinaka magaling na President FEM😭 nawa'y dika madaya @bongbongmarcos   #SMNITheDeepProbe  #BBM  https://t.co/hnpjWd9O8u",positive
bumilib kakampwet elementari kayang sagutan,positive
bbm naupong presid billion bayad,positive
bbmsara uniteam umulan umaraw solid bbm,positive
siguraduh iboto tunay mambabata senado,positive
huyi bbm guard dati dba hayaan lugaw respect masama sate bbm soliddddddd uniti langg yumaman,positive
favorit color green boboto babym,positive
lead survey,positive
Umaraw. Uminit ang pagtanggap. Inulan. Bumaha ng tao. Umapaw ng suporta. #UniTeamBBMSARA #MarikinaForUNITEAM  https://t.co/qEt8GY5Tk8,positive
chang mind presid bbm,positive
idamay resident iloco nort major win hate never win,positive
naga upod manko ralli leni peyborit color pink pro bbm koya,positive
I will still go for clean governance. #LeniKikoAllTheWay #NoToBBMSara #PASIGLaban,positive
@ad_bulan @Bbmapologist08 @SiiniGeng @JocelynNJose1 Salamat Po  Mabuhay Ang Lahat Na Mga Totoong Pilipino  #BBMSARA #BBMSaraUNITEAM  #BBMFORPRESIDENT2022  #SARADu30ForVicePresident #BBMSara2022 SAKALAM,positive
lola love uniti,positive
david yumang proud bbm youth bea binen movement,positive
bbmzansi bigbrothermzansi fighter fought till second give best shipper,positive
"we should stop teasing each other bro, in the end tayo din naman makikinabang. we all have different beliefs and opinions so let them be.  Kayo nadin nagsabi na ""respect mine and I respect yours"". #BBMForPresident #BBMSARAH2022 #UniteamBBMSARA",positive
Madami kami nagmamahal sayo.. Di na kami papayag na madaya ka pa!!!.. Dala mo lagi ang aming dasal .. Salute to the Future President and VP @indaysara!!! We are all with you all the way Mr President @bongbongmarcos #BBMSARA2022  #BBM #BBMForPresident #BBMSaraUNITEAM,positive
idoln toni matalino tlaga,positive
#bbmsarauniteam2022 we did it❤️💚 Natural na walang halong Chemical✌🏻👊🏻 Nakaka overwhelmed ang supporta ng mga Taga Laguna (Pure na taga LAGUNA ah😏). Partida walang celebrity performer yan na mala ASAPA na ang dating ah🤪 We don’t need ng madaming artista💯 #LagunaForBBMSARA  https://t.co/HEhwiipWC4,positive
The grand entrance of the next President of the Republic of the Philippines   #7 Ferdinand “BongBong” Marcos  #SMNITheDeepProbe  #ProtectBBM  #BringBackMarcos  https://t.co/Yuib96WZsQ,positive
Yes! Balik natin sila para bayaran ang pagkakalugmok sa utang ng Pilipinas! Sigaw ng bayan! Bayaran ang utang! Sobra- sobrang gahaman gusto pang maghari-harian kahit walang alam!✌️✌️✌️ #BringBackMarcos  https://t.co/0VbLKklN0K,positive
"@annayuuuuu Dami ksi nilang pinaglalaban, pero hindi nila alam kung anu2 yung pinaglalaban nila. Hahaha.✌️❤️👊💚#BringBackMarcos #MarcosParinkami #MarcosLatta",positive
second bbm belong power remain state,positive
mabut leader naninira kalaban umaangat naintindihan,positive
leni support intellig honest terrorist attack peopl attack govern bbm support chang,positive
Oo inaamin ko mas pogi si Donny! Pero inaamin ko din mas maraming natulungan si Sandro!  #sandromarcos #BBMSARA2022 #BBM,positive
"Ilista niyo na po ang mga Uniteam para sa darating na May 9 election, dun na tayo sa pagbabago #UniTeamBBMSARA  https://t.co/Zuj9ZHixMb",positive
They truly are the perfect tandem ❤💚 #UniteamBBMSara #BBMSARA2022 #uniteamburger,positive
Mahapdi yan.  Pero tinitiis nya ang sakit. Dahil dito mas lalu akong na bilib sa kanya. Go Sir President BBM. #ProtectBBM  #BBMFORPRESIDENT2022,positive
Nagwawala na sila! Endorsed na kasi ng PDP-LABAN si #BBM  #BBMSaraUNITEAM solid! ❤💚   https://t.co/0YGYwutOIk,positive
bobo cguro di maintindihan,negative
@barrygutierrez3 Italians and filipino community in Italy raising their voice. No to murderous regimes of Duterte and Marcos  #MarcosMagnanakaw  #LeniKikoAllTheWay    https://t.co/Mj9ACEUhtc,negative
@PhilstarNews Just hearing the name ‘Marcos’ sends chills on my spine. I can’t vote for BBM who reminds me of the harrowing years under martial law.  #NOTOBBM,negative
Yung room daw is Prison room.  #MarcosMagnanakaw #MarcosSinungaling  https://t.co/FNrTqJPqli,negative
push bright nanay delus fanat pinklawan former known dilawan,negative
"@PhilippineStar “They killed, raped, abused and tortured them one by one. At the height of this military operation in Samar, some high officials started the logging and mining concessions in the whole province.”  #BBMSaraUNITEAM #MarcosMagnanakaw #Mar",negative
"ang buwis ay pera ng bayan. therefore, ang hindi pagbabayad ng buwis ay maituturing na pagnanakaw. #MarcosMagnanakaw",negative
Wala na ikakapal pa mukha neto hahahahha nakakahiya sobra saan kaya humugot ng kakapalan mg mukha to? #JmDypataygutom #JmDy  #LeniRobredo2022 #MarcosMagnanakaw  https://t.co/jUrtmJ8YbR,negative
Desperate move in the name of spreading misinformation!   #NoToSaraDuWithoutHonesty #MarcosNumber1Sinungaling  #MarcosMagnanakaw #CAMANAVAisPink  https://t.co/mFXsSr4mBZ,negative
stupid know truth see truth believ lie,negative
basagin bbmdds univers loob,negative
this on the trend list makes me think that apologists know marcoses' wrongdoings but decided to turn a blind eye on those  #MarcosMagnanakaw  #MarcosDuwag  #MarcosSinungaling  https://t.co/d1Qt8wO7ws,negative
the likes of Marcos and Duterte do not respect the media enough to answer their questions. imagine the state of press freedom should they be elected. #MarcosMagnanakaw #MarcosDuwag,negative
ganda loss absenc,negative
hanapan babym diploma pakibalik,negative
@teta_limcangco Bring back marcos to exile!!! #marcosMAGNANAKAW,negative
BRING BACK MARCOS LOOT!!!!!!!  #MARCOSMAGNANAKAW,negative
victim bayarang troll magnanakw kayang lunukin kasinungalingan,negative
Ganyan ba ang dapat iboto sa pagka buse presidente?! Yung indyanerang butangerang inday na akala mo hindi abogada kung makaasta at kagaya nung running mate nya akala mo kung sinung entitled to skip all those debates that will dictate our future?! Kaya ako talaga #NoToBBMSara AKO!,negative
HAHHAHAHA ang TIGRE diba dapat MATAPANG anyaareee mas matapang pa pusa namin diyan HAHAHAH #MarcosDuwag #MarcosNumber1Sinungaling,negative
magnanakaw billion utang,negative
"@rhyvirgo @msCharityZhai @jasonnntttt @thekyleescala haha, puro lng unity ang isasagot ng mga maka bbm, wlang plataporma  #MarcosMagnanakaw",negative
tinutulungan nakakaiyak katangahan straight flush,negative
"Gaano kalaki ang 203 BILLION hindi nabayarang buwis sa ari-arian ni Marcos Sr at pamilya? Ito ay kasing laki ng pambansang badyet para sa kalusugan, pambansang depensa, at kapakanang panlipunan, nang paisa-isa. #MarcosMagnanakaw",negative
"Para sakin, shunga lang talaga boboto dyan kay Marcos. He owes the government 203 billion pesos as of now for the estate tax and till now he refuses to pay. Pag naging presidente pa yan, paano pa?? 🤡 #notobbm",negative
@News5PH Nagmahal sa bayan o ginawang atm ang bansa. Kaya nagkanda leche leche na tau hangang sa susunod n mga henerasyon. Di patau tapos magbayad ng utang ni marcos. Tpos gusto pa umupo ni jr. Pwe!!! #MarcosMagnanakaw  #MarcosLoser #MarcosNumber1Sinungal,negative
ilusyonado baba siguro pinagaralan naniniwala fake news bobong support trillan anticommunist leni ticket papayag npa magpatakbo,negative
Salamat nga pala doon sa mga umaattend ng debate nalalaman namin kung ganu kasama mga plataporma nyo at ganu kasasama mga ugali nyo🤮 #BBMSARA2022 #BBM #PasigLaban sa hakot🤪  https://t.co/FmECoFeLfi,negative
His unity� is obviously just an excuse for his ka-duwagan. Traumatized for life.  #BBMDUWAG  #BaBackoutMuli #MarcosDuwagParin #LeniDuwag  #ArawNgRosas,negative
This is what a #marcos presidency will look like. Another dictator who cant handle (legit) dissenters. #MarcosMagnanakaw  #MarcosDuwagTalaga,negative
@jacquemanabat Goons ang mga sikyo ni #MarcosMagnanakaw  Hanapin yang bopol na yan!!!,negative
NASAAN ANG BUILD BUILD NIYA? BIGYAN MO NGA AKO NG ISA! UTANG UTANG MALAKI PARA MALAKI RIN KURAKOT. #NoToMarcosDuterte2022 #MarcosNumber1Sinungaling #MarcosDuwag #MarcosMagnanakaw,negative
real talk matapang ipaglalaban karapatan bumuto kandidatong duwag,negative
@guingonabart Tatangkilik ba ko dyan sa SMNI? 1. wanted ng FBI yung may ari 2. obviously na bias yung mga tanong nila  na pabor dun sa #MarcosMagnanakaw,negative
@05PRODIGALSON09 Hoy!! Bong Bong!!! Bobo ka ba??? Ay ooo naman duwag pa 😂😂😂 #MarcosDuwag #MarcosBobo,negative
Inspiring. Nag-sekyu to achieve his dream while yung neer-do-well bulakbol na ginastusan ng pera ng taumbayan nagpakasasa sa London tapos ngayon gusto maging Presidente? Gagpang makatapos ang iba tapos siya ??? #neveragain #MarcosMagnanakaw,negative
Where is the lie? #MarcosDuwag  https://t.co/dAGK2os9Pp,negative
"Asus, ayaw nga ng Hindi first class sa carinderya pa! naku naku naku..#marcosmagnanakaw",negative
"@AndresMaharlika @myinnertime To clear things also, media was fully censored during the reign of Marcos terror. People don't really know all the shits happening in the society. Brainwashing is the name of the game. Just look at the North Koreans who think",negative
Pag absent dapat tahimik nalang. Nakakahiya diba? Siya lang wala because?DUWAG????  #BBMDuwag #BBMLoser,negative
inuuto kakampink kabataan kakaiba isip manang nde konti ora mundo maiiwan sasalo pagkakamali,negative
"""I don't have answer on why we even allow Imelda to open her mouth""  HAHAHAHAHAHA #MarcosMagnanakaw",negative
kawawa pilipina henerasyon nanalo,negative
@honey_drippers @MedwinTruefaith Obvious naman po para maka masa raw sila🤣 Kumita na yan #GalawangTrapo #MarcosMagnanakaw,negative
Yung unanimously 47K reaction pinagtawanan na lang si BaBy M! Duwag na mayabang pa! #BBMWalangPlataporma #BBMWalangGinawaSaPandemic #BBMBagsakSaEconomics #BBMDuwag  https://t.co/wW2ADlnDC8,negative
come famili thiev friend thiev support thiev lick boot thiev human condit attract,negative
uniti pilipino nagbabayad buwi unit pinipili,negative
"Pag si Marcos ang trip mo para mo na ring sinabi sa kanya na pwede ka na ulit nakawan w/ open legs and arms.   But w/ Leni, u are asking the culture of corruption to stop, no ifs and buts!  #MarcosMagnanakaw  https://t.co/en9NiRObyD",negative
@dogeholder2001 @khaz_u You cringe at facts? I thought you like facts?😂 #BobongMarcos #MarcosMagnanakaw #MarcosTaxEvader #MarcosSinungaling #MarcosNoCollegeDegree,negative
Prof. Carlos is super overrated. As in super. Naaalala lang yata nila mga terror nilang teacher dun sa prof na yun. Sobrang waley. Bias pa.  Next pls.  #SMNITheDeepProbe #MarcosMagnanakaw,negative
@hellokidneyMD Mukha palang alam mo ng sila ang loser😂😂 #Blengblogloser #MarcosDuwag #MarcosMagnanakaw,negative
blinock kampon demonyo jusko tagal ipamuka gaano sinusunog impyerno pweee worri gagawa mahanap itama pweee,negative
yaman gale nakaw,negative
bbm iboto shoot fall titanium shoot fall titani sabaaaaay forev,negative
Nandidiri o masyadong mababa ang pain threshold? #marcosdiringdiri #MarcosDuwagTalaga #BBMduwag  https://t.co/RjdKzhXbZz,negative
TANG INA? SA KANANG KAMAY KA SINUBUKANG HAWAKAN. SINUNGALING   #BBMSARA2022 #BBMduwag #BBMForPresident #BBMNumber1Sinungaling  https://t.co/kx4MiRDfZh,negative
"@marortoll ""Ang pagkakaisa! ay dahil tayo ay nagkaisa! kung kaya't......(ngiwi)...tayo ay magkaisa upang makamit natin ang pagkakaisa!"" X 20 times. 🙄 @bongbongmarcos 🤣🤣🤣🤣  #MarcosDuwag  #MarcosMagnanakaw  #MarcosTheAntMan  https://t.co/oWm0",negative
"@inquirerdotnet What are you smoking, man? You’re delusional! #NoToMarcosDuterte2022 #MarcosNumber1Sinungaling #MarcosDuwagParin #MarcosMagnanakaw",negative
@JamesxDimagiba @dogeholder2001 @khaz_u Bakit may bago ba kay BBM? Puro UNiTy lang naman alam nun eh😂😂  #BobongMarcos #MarcosMagnanakaw #MarcosTaxEvader #MarcosSinungaling #MarcosNoCollegeDegree,negative
Bwahaha coming from him na hindi marunong mg Ilokano 🤭🤭🤭 #MarcosNumber1Sinungaling   BBM BUWIS BAYARAN MO #MarcosMagnanakaw #MarcosDuwag #MarcosSinungaling  #NoToMarcosDuterte2022 #NoToDuterteMarcos2022  #neveragain #neverforget,negative
tatay magnanakaw nanay guilti sandiganbayan anak tax evad fake credenti da,negative
pangulo speech sablay lage nkachew gum plataporma nkikipagalyado communist china ipamimigay wps,negative
nakakapikon buho kayong masyadong pikon pakialaman caravan buhusan tubig relax,negative
“'Wala kayong naririnig na fake news sa akin': Bongbong Marcos “  - yan ang fake news  #MarcosSinungaling  #MarcosDuwag  #MarcosTaxEvader  #MarcosConvicted,negative
novalich bishop emeritus founder servant leader endors late dictat son malingmali endors mike pananaw malingmali,negative
Hahahaha that's why he's avoiding the debate puro ganito lang reaction nya sa mga ganyan issues. #MarcosDuwag,negative
nagsauli magnanakaw,negative
balikbayan magnanakaw,negative
dagdag ebidensya bayaran bbm patunay bbm suportado naniniwala,negative
"@chiarazambrano If we're being honest, the lesser #Marcos only has CHEATING left as a means to win at this point. If the Pilipinos are not vigilant and allows it, the elections will be stolen. #MarcosMagnanakaw #MarcosDuwag #MarcosSinungaling",negative
@gmanews @annafelicia_ This dude gives sooooo much crap!!!! #MarcosMagnanakaw,negative
friendly reminder to bongbong marcos that there is only side of the truth!   and the truth is  #MarcosNumber1Sinungaling #MarcosMagnanakaw #MarcosDuwagTalaga,negative
Diba nila naiisip na kundi Di talaga mag NANAKAW ANG Marcos matagal na Sila kinasuhan Ng LIBEL ANG MGA nag sasabing magnanakaw Sila! Kase nga ALAM nila lado may may MGA taong tanga #MarcosMagnanakaw,negative
Na-marcos ko lang yung pic pero nagkagilo raw sa Home Buddies sa FB kanina. Naglabasan na raw mga Narcos Apologists eme… wala naman sinabing pangalan ha? Porke’t ganito #MarcosMagnanakaw agad? Maygahd!  https://t.co/fKL8LCf4Vu,negative
profession kaayo bbm bisag unsa nalay bash iyaha never jd mibalo,negative
fight countri futur pathet buffoon bitter full hatr basi bigyan plataporma pakisabi magbayad tax,negative
"@Bugzzy28 @whrtpjw @wid_kr para lang malinaw, akusa mo ba na may attend na mga NPA sa #DavaoIsPink rally? sino dyan sa #DavaoIsPink rally for Vice-president Robredo ang sinasabi mo na mga NPA? huwag kang duwag ituro mo sino dyan ang mga NPA.  #MarcosDuwag",negative
"His father’s sins may not be his,but he enjoyed and lived-off the the ill-gotten wealth they’ve amassed. He has been jobless for the last 6 years &amp; notably no other source of income aside from that of being a politician. #MarcosMagnanakaw #MarcosNumber1Sinungaling",negative
@DarnaImpakta Ingatan ang bato. May magnanakaw nyan sigurado! #MarcosMagnanakaw,negative
kid taught lesson halong revision disinform ohmay naliligaw landa sorri say,negative
kesyo kakampink nagmomonopol fact check lagi punterya kampo nangunguna credibl duh credibl news channel fact checker break free tulfo gaslight,negative
Di ba nila alam that they are cyberbullying the 2nd highest elected official in the land? #LawyersForLeni di ba pwede kasuhan mga to at ipadeport pabalik dito para maintindihan talaga nila ang kundisyon ng pamimuhay natin? #MarcosNumber1Sinungaling  #MarcosDuwag #MarcosMagnanakaw  https://t.co/muhNrsnYtU,negative
Sen. Manny ayaw nya nga kasi sa debate2. Try mo hamonin ng sparring baka pagbigyan ka. Chariz. #BBMDuwag #MarcosDuwag,negative
"@isabelmerana Siyempre FALSE. The $10B they stole in 1986 is worth AT LEAST $45B TODAY. That’s almost HALF of our @BangkoSentral reserves, meaning they stole half of our country’s savings accumulated over 35 years. Ayaw lang nilang pag-aksayahan ang #",negative
iretweet iretweet bbm male kamay sugat left quotangquota kasinungalingan samin hyup,negative
"Lusaw na ang mga trolls 😂😭🤣🤣🤣 buking tuloy, trend ang Drone #800KMinusOne #CaviteIsPink #NuevaEcijaIsPink #MarcosDuwag #BBMLoser  https://t.co/0Zj5OBQoxb",negative
gobyernong tapat bayad,negative
myron balita dhil madumb pinagyabang kylangan madumb makahakot boto todo pabibo madumb nakakasawa tingnan mukha tae,negative
"@56audrey57 😵😵👎bobo,stupid kahit nag aral kuno abroad,first check  your grammar,second check your logic on laws of taxation &amp; third your family must pay the taxes ...203 Billion by final judgment of the supreme court, GR 120880 if i'm not mis",negative
plano corrupt leni lutang lugaw fake ingat madaya,negative
"@IamCharotism #MarcosMagnanakaw  Minarcos ng cult member ang isang tulang di naman nila naiintindihan. At kung nauunawaan nila, yung kanilang amo at ang mga politikong kagaya niya ang tinutuligsa.   You share the values of those you are voting for.   You",negative
super saya masarap know good compani idol magnanakaw ewan braincel bawal ngiwi bobo tanga,negative
Halata’ng hindi ramdam ang sinasabi nila eh sabagay ni hindi nga kabisado. Nangopya na nga lang hindi pa ginangalingan 😂😝. 🤦🏻‍♀️ #MarcosDuwagTalaga #MarcosNumber1Sinungaling #MarcosMagnanakaw,negative
@FreediverMmm @taehyung7895 Bakit naman kame bibili niyang gulp gulp na yan mga hampaslupa karamihan bumibili niyan #MarcosMagnanakaw,negative
ANG BOBO! 😩😭🤣😂😭🤣🤣 #MarcosMagnanakaw #MarcosDuwag #BBMLoser,negative
ON FUCKING POINT!!!!!!!!!!!!! #MarcosDuwag #DuterteDuwag,negative
@WinchesterNel @k_aletha Ano relate? Umurong manok nyo. #MarcosDuwag tapos tax evader pa. Tsk tsk,negative
sad polit toxic shame appar reason scream hate shame sandro sink career shame,negative
ps plano attend debat duwag,negative
"If the Marcoses return to power, the Philippines will be the laughing stock of the world  https://t.co/eFlfFt2aDB  #MarcosMagnanakaw  #MarcosNumber1Sinungaling  #MarcosDuwagParin",negative
dream never againganyan demonyo dilawan magpaloko dilawan darat electionlalo pink balatandilaw makikit,negative
nakakasuka seaman bbm masagot bbm boboto tiktok sourc ampota,negative
Going out of your way just to make a video talking shit about leni is hilarious. Proves to me that YOU are the real losers. #MarcosDuwag,negative
Ma'am Guanzon is the bardagulan mood!   Ganito dapat attitude natin sa katangahan ng pagboto kay BBM!  #MarcosDuwag #MarcosMagnanakaw #MarcosNumber1Sinungaling #CAMANAVAisPink #CAMANAVAforLeniKiko #CAMANAVARocknRosas,negative
"@ABSCBNNews Kakapal ng mga Marcos, mga #sinungaling  at #magnanakaw 💰💰 💰 #BBM #BBMSaraUNITEAM",negative
Tag a friend who is a #SolidBBM kahit latagan ng facts at ang isasagot ay respect my opinion. 🥲💪🏻,negative
bagay parehong mukhang mongoloid,negative
unithiev name diktador parent,negative
khit mabilad pambili biga makain perapera labanan deep insid iboboto,negative
"Bigla ko lang na-realize no, yung format ni Jessica Soho yung pinakamadaling format for the candidates kasi pre-taped. Pero kahit yun, himdi kinagat ni @bongbongmarcos . So un, duwag talaga ang bangag na tigre ng norte na hindi solid.  #AngatBuhayLahat #MarcosMagnanakaw #BBMduwag",negative
